State,Year,Deaths,Population,Crude_rate,Drug_death,Alcohol_death,Other_death
Alabama,1999,44806,4430143,1011.4,195,249,44362
Alabama,2000,45062,4447100,1013.3,232,238,44592
Alabama,2001,45316,4467634,1014.3,253,236,44827
Alabama,2002,46069,4480089,1028.3,248,212,45609
Alabama,2003,46716,4503491,1037.3,255,218,46243
Alabama,2004,46121,4530729,1018,327,250,45544
Alabama,2005,47090,4569805,1030.5,332,255,46503
Alabama,2006,46977,4628981,1014.8,466,249,46262
Alabama,2007,46696,4672840,999.3,554,254,45888
Alabama,2008,47707,4718206,1011.1,646,250,46811
Alabama,2009,47470,4757938,997.7,688,238,46544
Alabama,2010,48038,4779736,1005,585,267,47186
Alabama,2011,48681,4802740,1013.6,605,249,47827
Alabama,2012,49301,4822023,1022.4,632,280,48389
Alabama,2013,50189,4833722,1038.3,648,259,49282
Alabama,2014,50215,4849377,1035.5,800,310,49105
Alabama,2015,51909,4858979,1068.3,810,316,50783
Alaska,1999,2708,624781,433.4,56,94,2558
Alaska,2000,2914,626932,464.8,54,102,2758
Alaska,2001,2974,633714,469.3,72,120,2782
Alaska,2002,3030,642337,471.7,85,125,2820
Alaska,2003,3180,648414,490.4,86,122,2972
Alaska,2004,3051,659286,462.8,92,104,2855
Alaska,2005,3168,666946,475,85,121,2962
Alaska,2006,3354,675302,496.7,85,143,3126
Alaska,2007,3463,680300,509,75,144,3244
Alaska,2008,3494,687455,508.3,132,147,3215
Alaska,2009,3618,698895,517.7,133,149,3336
Alaska,2010,3728,710231,524.9,84,122,3522
Alaska,2011,3849,722718,532.6,107,131,3611
Alaska,2012,3912,731449,534.8,132,122,3658
Alaska,2013,3997,735132,543.7,110,126,3761
Alaska,2014,4128,736732,560.3,127,139,3862
Alaska,2015,4316,738432,584.5,127,161,4028
Arizona,1999,40050,5023824,797.2,557,468,39025
Arizona,2000,40500,5130632,789.4,559,472,39469
Arizona,2001,41058,5273477,778.6,598,450,40010
Arizona,2002,42816,5396255,793.4,667,515,41634
Arizona,2003,43392,5510364,787.5,739,572,42081
Arizona,2004,43198,5652404,764.2,803,590,41805
Arizona,2005,45827,5839077,784.8,849,667,44311
Arizona,2006,46365,6029141,769,959,664,44742
Arizona,2007,45554,6167681,738.6,981,747,43826
Arizona,2008,45823,6280362,729.6,853,784,44186
Arizona,2009,45816,6343154,722.3,1041,804,43971
Arizona,2010,46762,6392017,731.6,1141,987,44634
Arizona,2011,48381,6482505,746.3,1118,1008,46255
Arizona,2012,49549,6553255,756.1,1206,1056,47287
Arizona,2013,50534,6626624,762.6,1304,1138,48092
Arizona,2014,51538,6731484,765.6,1274,1170,49094
Arizona,2015,54299,6828065,795.2,1351,1277,51671
Arkansas,1999,27925,2651860,1053,121,120,27684
Arkansas,2000,28217,2673400,1055.5,151,113,27953
Arkansas,2001,27759,2691571,1031.3,131,161,27467
Arkansas,2002,28513,2705927,1053.7,190,136,28187
Arkansas,2003,27918,2724816,1024.6,203,138,27577
Arkansas,2004,27528,2749686,1001.1,249,131,27148
Arkansas,2005,28055,2781097,1008.8,286,146,27623
Arkansas,2006,27901,2821761,988.8,307,171,27423
Arkansas,2007,28191,2848650,989.6,326,173,27692
Arkansas,2008,29322,2874554,1020.1,390,200,28732
Arkansas,2009,28673,2896843,989.8,384,173,28116
Arkansas,2010,28916,2915918,991.7,374,179,28363
Arkansas,2011,29653,2937979,1009.3,375,176,29102
Arkansas,2012,30117,2949131,1021.2,398,175,29544
Arkansas,2013,30437,2959373,1028.5,343,189,29905
Arkansas,2014,30467,2966369,1027.1,377,209,29881
Arkansas,2015,31617,2978204,1061.6,425,242,30950
California,1999,229380,33499204,684.7,3091,3286,223003
California,2000,229551,33871648,677.7,2301,3406,223844
California,2001,234044,34479458,678.8,1507,3399,229138
California,2002,234565,34871843,672.6,3418,3542,227605
California,2003,239371,35253159,679,3614,3752,232005
California,2004,232525,35574576,653.6,3681,3703,225141
California,2005,237037,35827943,661.6,3821,3932,229284
California,2006,237126,36021202,658.3,4026,3932,229168
California,2007,233720,36250311,644.7,4178,4027,225515
California,2008,234766,36604337,641.4,4147,4167,226452
California,2009,232736,36961229,629.7,4290,4245,224201
California,2010,234012,37253956,628.2,4258,4292,225462
California,2011,239942,37691912,636.6,4429,4489,231024
California,2012,242554,38041430,637.6,4304,4422,233828
California,2013,248359,38332521,647.9,4747,4560,239052
California,2014,245929,38802500,633.8,4816,4746,236367
California,2015,259206,39144818,662.2,5025,5150,249031
Colorado,1999,27114,4226018,641.6,375,468,26271
Colorado,2000,27288,4301261,634.4,372,446,26470
Colorado,2001,28294,4425687,639.3,444,511,27339
Colorado,2002,29210,4490406,650.5,474,516,28220
Colorado,2003,29506,4528732,651.5,529,517,28460
Colorado,2004,28309,4575013,618.8,548,498,27263
Colorado,2005,29627,4631888,639.6,640,500,28487
Colorado,2006,29521,4720423,625.4,660,526,28335
Colorado,2007,29993,4803868,624.4,747,610,28636
Colorado,2008,31274,4889730,639.6,760,676,29838
Colorado,2009,31173,4972195,626.9,784,686,29703
Colorado,2010,31465,5029196,625.6,676,733,30056
Colorado,2011,32563,5116796,636.4,852,720,30991
Colorado,2012,33133,5187582,638.7,826,749,31558
Colorado,2013,33712,5268367,639.9,864,788,32060
Colorado,2014,35237,5355866,657.9,917,812,33508
Colorado,2015,36349,5456574,666.2,893,857,34599
Connecticut,1999,29446,3386401,869.5,330,175,28941
Connecticut,2000,30129,3405565,884.7,336,195,29598
Connecticut,2001,29827,3432835,868.9,326,160,29341
Connecticut,2002,30122,3458749,870.9,377,198,29547
Connecticut,2003,29627,3484336,850.3,338,184,29105
Connecticut,2004,29314,3496094,838.5,360,189,28765
Connecticut,2005,29467,3506956,840.2,352,186,28929
Connecticut,2006,29260,3517460,831.9,458,186,28616
Connecticut,2007,28651,3527270,812.3,444,214,27993
Connecticut,2008,28794,3545579,812.1,397,229,28168
Connecticut,2009,28585,3561807,802.5,397,222,27966
Connecticut,2010,28692,3574097,802.8,372,192,28128
Connecticut,2011,29526,3580709,824.6,416,188,28922
Connecticut,2012,29316,3590347,816.5,451,187,28678
Connecticut,2013,29632,3596080,824,600,281,28751
Connecticut,2014,29860,3596677,830.2,639,303,28918
Connecticut,2015,30535,3590886,850.3,827,341,29367
Delaware,1999,6666,774990,860.1,55,61,6550
Delaware,2000,6875,783600,877.4,60,51,6764
Delaware,2001,7112,795699,893.8,70,69,6973
Delaware,2002,6861,806169,851.1,85,76,6700
Delaware,2003,7070,818003,864.3,88,66,6916
Delaware,2004,7143,830803,859.8,92,54,6997
Delaware,2005,7472,845150,884.1,67,58,7347
Delaware,2006,7204,859268,838.4,83,58,7063
Delaware,2007,7327,871749,840.5,102,57,7168
Delaware,2008,7622,883874,862.3,125,75,7422
Delaware,2009,7534,891730,844.9,139,70,7325
Delaware,2010,7706,897934,858.2,147,74,7485
Delaware,2011,7845,907135,864.8,166,62,7617
Delaware,2012,7875,917092,858.7,150,60,7665
Delaware,2013,7967,925749,860.6,170,63,7734
Delaware,2014,8260,935614,882.8,204,77,7979
Delaware,2015,8582,945934,907.3,208,80,8294
District of Columbia,1999,6076,570220,1065.6,55,77,5944
District of Columbia,2000,6001,572059,1049,84,113,5804
District of Columbia,2001,5951,574504,1035.9,111,113,5727
District of Columbia,2002,5851,573158,1020.8,70,117,5664
District of Columbia,2003,5573,568502,980.3,119,102,5352
District of Columbia,2004,5454,567754,960.6,109,109,5236
District of Columbia,2005,5483,567136,966.8,94,83,5306
District of Columbia,2006,5344,570681,936.4,129,82,5133
District of Columbia,2007,5188,574404,903.2,90,60,5038
District of Columbia,2008,5140,580236,885.8,77,73,4990
District of Columbia,2009,4834,592228,816.2,58,51,4725
District of Columbia,2010,4672,601723,776.4,90,87,4495
District of Columbia,2011,4589,617996,742.6,94,75,4420
District of Columbia,2012,4650,632323,735.4,85,74,4491
District of Columbia,2013,4719,646449,730,113,65,4541
District of Columbia,2014,4723,658893,716.8,106,66,4551
District of Columbia,2015,4871,672228,724.6,130,80,4661
Florida,1999,163224,15759421,1035.7,1061,1284,160879
Florida,2000,164395,15982378,1028.6,1237,1341,161817
Florida,2001,167269,16356966,1022.6,1833,1408,164028
Florida,2002,167814,16689370,1005.5,2041,1424,164349
Florida,2003,168657,17004085,991.9,2153,1485,165019
Florida,2004,169008,17415318,970.5,2408,1525,165075
Florida,2005,170791,17842038,957.2,2664,1612,166515
Florida,2006,170066,18166990,936.1,2928,1746,165392
Florida,2007,168096,18367842,915.2,2936,1770,163390
Florida,2008,170703,18527305,921.4,3097,1765,165841
Florida,2009,169924,18652644,911,3193,1688,165043
Florida,2010,173791,18801310,924.4,3181,1751,168859
Florida,2011,173976,19057542,912.9,3033,1858,169085
Florida,2012,177291,19317568,917.8,2697,1963,172631
Florida,2013,181112,19552860,926.3,2603,2070,176439
Florida,2014,185956,19893297,934.8,2804,2366,180786
Florida,2015,191737,20271272,945.9,3377,2489,185871
Georgia,1999,62028,8045966,770.9,347,477,61204
Georgia,2000,63870,8186453,780.2,429,489,62952
Georgia,2001,64485,8377038,769.8,591,502,63392
